 Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
50	Prisca Chilufya	zm ZAM	FW	Angel City FC	26-307	1999	4	0	13	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
51	Danielle Colaprico	us USA	MF	Houston Dash	32-340	1993	4	4	289	3.2	0	1	1	0	0	0	2	0	0.00	0.31	0.31	0.00	0.31	Matches
52	Sydney Collins	ca CAN	DF	Bay FC	26-215	1999	4	4	360	4.0	0	1	1	0	0	0	1	0	0.00	0.25	0.25	0.00	0.25	Matches
53	Aldana Cometti	ar ARG	DF	Bay FC	30-039	1996	2	2	180	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
54	Caroline Conti	us USA	FW	Bay FC	25-014	2001	3	0	86	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
55	Sofia Cook	us USA	FW	Gotham FC	21-247	2004	4	1	82	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
56	Michelle Cooper	us USA	MF,FW	Current	23-128	2002	5	4	254	2.8	1	0	1	1	0	0	0	0	0.35	0.00	0.35	0.35	0.35	Matches
57	Gia Corley	de GER	MF	SD Wave	23-326	2002	3	3	237	2.6	0	1	1	0	0	0	0	0	0.00	0.38	0.38	0.00	0.38	Matches
58	Brooklyn Courtnall	ca CAN	DF	Bay FC	23-104	2002	4	3	325	3.6	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
59	Madison Curry	us USA	DF	Reign	25-078	2001	5	5	450	5.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
60	Maddie Dahlien	us USA	MF	Reign	21-260	2004	3	2	190	2.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
61	Kenza Dali	fr FRA	MF	SD Wave	34-254	1991	5	5	450	5.0	0	1	1	0	0	0	0	0	0.00	0.20	0.20	0.00	0.20	Matches
62	Tierna Davidson	us USA	DF	Gotham FC	27-205	1998	4	0	117	1.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
63	Debinha	br BRA	MF	Current	34-173	1991	5	4	393	4.4	1	1	2	1	0	0	0	0	0.23	0.23	0.46	0.23	0.46	Matches
64	Kate Del Fava	us USA	DF	Royals	27-262	1998	5	5	450	5.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
65	Tessa Dellarose	us USA	DF	Chicago Stars	22-009	2004	5	4	379	4.2	1	0	1	1	0	0	0	0	0.24	0.00	0.24	0.24	0.24	Matches
66	Cece Delzer	us USA	MF	Royals	28-247	1997	5	5	416	4.6	0	1	1	0	0	0	0	0	0.00	0.22	0.22	0.00	0.22	Matches
67	Anouk Denton	eng ENG	DF	Bay FC	22-337	2003	4	2	181	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
68	Lucia Di Guglielmo	it ITA	DF	Washington Spirit	28-289	1997	5	5	386	4.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
69	Claudia Dickey	us USA	GK	Reign	26-095	2000	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
70	Makenzy Doniak	us USA	FW	Houston Dash	32-045	1994	3	3	243	2.7	1	1	2	1	0	0	0	0	0.37	0.37	0.74	0.37	0.74	Matches
71	Julie Doyle	us USA	MF	Orlando Pride	27-224	1998	5	0	68	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
72	Dudinha	br BRA	FW,MF	SD Wave	20-281	2005	5	5	404	4.5	2	3	5	2	0	0	0	0	0.45	0.67	1.11	0.45	1.11	Matches
73	Jordynn Dudley	us USA	FW	Gotham FC	21-141	2004	5	1	214	2.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
74	Kayla Duran		DF	Gotham FC			5	4	244	2.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
75	Cori Dyke	us USA	DF	Orlando Pride	25-203	2000	5	5	450	5.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
76	Emma Egizii	us USA	MF	Chicago Stars	23-036	2003	3	0	71	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
77	Kalea Eichenberger		MF	Royals			1	0	8	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
78	Kate Faasse	us USA	FW	Houston Dash	21-311	2004	1	1	56	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
79	Aaliyah Farmer	mx MEX	DF	Chicago Stars	22-166	2003	4	0	89	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
80	Laurina Fazer	fr FRA	MF	SD Wave	22-180	2003	4	4	288	3.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
81	Bayley Feist	us USA	MF	Current	29-028	1997	2	1	92	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
82	Kayla Fischer	us USA	MF	Racing Louisville	26-096	2000	4	4	351	3.9	1	1	2	1	0	0	0	0	0.26	0.26	0.51	0.26	0.51	Matches
83	Mia Fishel	us USA	FW	Reign	24-346	2001	1	1	77	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
84	Jess Fishlock	wls WAL	MF	Reign	39-087	1987	4	4	274	3.0	1	0	1	1	0	0	1	0	0.33	0.00	0.33	0.33	0.33	Matches
85	Jessie Fleming	ca CAN	MF	Portland Thorns	28-031	1998	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
86	Natasha Flint	eng ENG	MF	Denver Summit	29-252	1996	5	5	450	5.0	1	1	2	1	0	0	2	0	0.20	0.20	0.40	0.20	0.40	Matches
87	Taylor Flint	us USA	MF,DF	Racing Louisville	27-140	1998	4	4	360	4.0	2	0	2	0	2	2	1	0	0.50	0.00	0.50	0.00	0.00	Matches
88	Bea Franklin	us USA	DF	Chicago Stars	25-189	2000	5	4	341	3.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
89	Leah Freeman	us USA	GK	SD Wave	24-064	2002	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
90	Kennedy Fuller	us USA	MF	Angel City FC	19-033	2007	4	4	347	3.9	1	2	3	1	0	0	0	0	0.26	0.52	0.78	0.26	0.78	Matches
91	Jordan Fusco	us USA	MF	SD Wave	22-212	2003	3	0	29	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
92	Mirann Gacioch	us USA	DF	Racing Louisville	22-163	2003	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
93	Eva Gaetino	us USA	DF	Denver Summit	23-115	2002	3	2	203	2.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
94	Aleigh Gambone	us USA	MF,FW	Boston Legacy	25-184	2000	4	2	164	1.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
95	Onyeka Gamero	us USA	FW	Bay FC	20-047	2006	1	0	35	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
96	Nahikari García	es ESP	FW	Denver Summit	29-032	1997	1	0	7	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
97	Ryan Gareis	us USA	MF,DF	Chicago Stars	27-149	1998	5	5	417	4.6	0	1	1	0	0	0	0	0	0.00	0.22	0.22	0.00	0.22	Matches
