name,photo_url
skylar wicks,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703980.png&w=350&h=254
ty harper,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683748.png&w=350&h=254
alex wilkins,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5314511.png&w=350&h=254
joshua beadle,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4698718.png&w=350&h=254
tyler tejada,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5175148.png&w=350&h=254
delrecco gillespie,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108093.png&w=350&h=254
aaron nkrumah,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5182573.png&w=350&h=254
taireon joseph,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703215.png&w=350&h=254
jaden henley,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105821.png&w=350&h=254
larry hughes ii,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105981.png&w=350&h=254
quion williams,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106274.png&w=350&h=254
tyler bilodeau,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105626.png&w=350&h=254
brody robinson,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107377.png&w=350&h=254
jaron pierre jr,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703115.png&w=350&h=254
anquan hill,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4709320.png&w=350&h=254
bernie blunt iii,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898243.png&w=350&h=254
collin parker,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5312891.png&w=350&h=254
tijan saine jr,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5313292.png&w=350&h=254
mj collins jr,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105401.png&w=350&h=254
alfred worrell jr,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5240664.png&w=350&h=254
jeremiah wilkinson,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5165276.png&w=350&h=254
larry johnson,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5144375.png&w=350&h=254
cris carroll,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5241706.png&w=350&h=254
anias futrell,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5242437.png&w=350&h=254
michael jacobs,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5243366.png&w=350&h=254
jeshawn stevenson,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5241608.png&w=350&h=254
dailyn swain,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4848625.png&w=350&h=254
jackson paveletzke,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107317.png&w=350&h=254
keith palek iii,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5313696.png&w=350&h=254
tahj staveskie,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896368.png&w=350&h=254
bryce harris,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897768.png&w=350&h=254
del jones,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4873143.png&w=350&h=254
nils machowski,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5175080.png&w=350&h=254
meechie johnson,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4710770.png&w=350&h=254
braden sparks,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108879.png&w=350&h=254
dylan faulkner,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5176193.png&w=350&h=254
brycen blaine,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107223.png&w=350&h=254
kenny noland,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106236.png&w=350&h=254
anthony mccomb iii,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108049.png&w=350&h=254
travis harper ii,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5242985.png&w=350&h=254
finley bizjack,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4848619.png&w=350&h=254
jake fiegen,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5175900.png&w=350&h=254
